"","hostel.name","City","summary.score","rating.band","atmosphere","cleanliness","facilities","location.y","security","staff","valueformoney","minprice"
"48","Capsule Inn Kinshichou","Tokyo",8.6,"Fabulous",6,10,8,8,10,8,10,2600
"49","Capsule Resort Kyoto Square","Kyoto",9.6,"Superb",9.1,10,9.6,10,9.8,9.8,9.1,3100
"50","Capsule Value Kanda","Tokyo",8.6,"Fabulous",8,8.7,7.3,9.3,8.7,9.3,8.7,3000
"51","Casa Macondo","Osaka",6.9,"Good",6.5,6.5,7.5,7,7,6.5,7,3000
"52","Centurion Cabin & Spa Kyoto","Kyoto",8.9,"Fabulous",7.9,9.6,9.1,9.6,8.9,8.5,8.6,2500
"53","Centurion Hotel Residential Akasaka","Tokyo",9,"Superb",7.5,9.3,9.3,9.3,9.5,8.9,9,2600
"54","Centurion Ladies Hostel Uenopark (Female only)","Tokyo",8.9,"Fabulous",7.7,8.9,9.1,9.1,9.3,8.9,9.3,2500
"55","Chaganjutei","Kyoto",9.6,"Superb",10,10,9,9,9,10,10,3300
"56","CITAN Hostel","Tokyo",9.4,"Superb",9.3,9.8,9.5,9.1,9.5,9.6,9.3,2500
"57","Coco Hostel Osaka","Osaka",8.5,"Fabulous",7.2,9.2,8,9.8,8.2,8.8,8.2,2100
"58","Colours","Kyoto",8.9,"Fabulous",4,10,10,8,10,10,10,1600
"59","Comics & CapsuleHotel COMICAP kyotoshinkyogoku","Kyoto",9.6,"Superb",9.1,9.8,9.8,9.8,9.4,9.3,9.7,2000
"60","Common de Hostel & Bar","Fukuoka-City",9.9,"Superb",10,10,10,9,10,10,10,2500
"61","Daikoku Hostel","Osaka",8,"Fabulous",6,8,8,8,9,9,8,2800
"62","Dotombori Base","Osaka",8.7,"Fabulous",8.6,8.3,7.7,9.7,8.6,9.4,8.9,2500
"63","Downtown Inn Kyoto","Kyoto",9.3,"Superb",8.9,9.7,9.7,9.1,9.1,8.6,9.7,1000
"64","Drop Inn Osaka","Osaka",8.8,"Fabulous",8.3,9.5,9,8.3,9.1,8.5,8.7,2800
"65","Edo Tokyo Hostel","Tokyo",8.1,"Fabulous",8,8.5,8,7.5,7,8.5,9,1800
"66","Emblem Hostel Nishiarai","Tokyo",9.3,"Superb",9.5,9.8,9.7,7.4,9.8,9.8,9.5,2000
"67","ENAKA Asakusa Central Hostel","Tokyo",9.3,"Superb",8.9,9.8,9.3,9.6,9.6,9.1,8.9,2600
"68","Ezstay Osaka","Osaka",3.1,"Rating",2,2,2,4,6,2,4,2000
"69","Fairfield House","Kyoto",9.3,"Superb",9.1,9.6,9.4,8.7,9.3,9.6,9.7,1700
"70","Family & bAKpAK Tokyo Hostel","Tokyo",7.4,"Very Good",6.5,6.5,7.5,7.5,8.5,6.5,9,1800
"71","Friends Kyo","Kyoto",10,"Superb",10,10,10,10,10,10,10,2200
"72","FUJITAYA Kyoto","Kyoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,3500
"73","Fukuoka Backpackers Hostel","Fukuoka-City",8.3,"Fabulous",7.5,8.6,8,8.2,8.8,8.9,8.1,2300
"74","Fukuoka Hana Hostel","Fukuoka-City",9,"Superb",8.3,9.2,8.8,9.5,9,9.3,9,2500
"75","Funtoco Backpackers Namba","Osaka",9.3,"Superb",8.9,9.6,9,9,9.5,10,9.4,2300
"76","Gion Ryokan Q-beh","Kyoto",9.5,"Superb",9,9.8,9.5,9.8,9.3,9.5,9.6,2800
"77","Goen Lounge＆Stay","Osaka",8.9,"Fabulous",8,10,10,6,8,10,10,2000
"78","Gojo Guest House","Kyoto",9.5,"Superb",9.6,9.5,8.8,9.6,9.3,10,9.8,2000
"79","Gojo Guesthouse - Annex","Kyoto",9.6,"Superb",8.7,10,9.3,9.3,10,10,10,2500
"80","Good Diner Inn Copain","Tokyo",9.1,"Superb",9.5,9.5,9.5,8,9,10,8.5,3300
"81","Grids Kyoto Shijo Kawaramachi Hotel & Hostel","Kyoto",9.7,"Superb",8.9,10,9.5,10,10,9.8,9.8,1800
"82","GRIDS TOKYO AKIHABARA HOTEL&HOSTEL","Tokyo",8.7,"Fabulous",7.8,9.4,8.7,8.7,8.8,8.7,8.7,2400
"83","Grids Tokyo Asakusa-Bashi Hotel&Hostel","Tokyo",9,"Superb",7.9,9.6,9,8.7,9.5,9.5,8.9,2200
"84","GRIDS TOKYO NIHOMBASHI EAST HOTEL&HOSTEL","Tokyo",8.3,"Fabulous",6.7,9.3,8.7,9.3,9.3,7.3,7.3,2400
"85","Guest House Bola-Bola","Kyoto",9.4,"Superb",9.3,9.9,9,8.8,9.4,9.9,9.4,2700
"86","Guest House Com Inn Hiroshima","Hiroshima",8.9,"Fabulous",7.3,10,8,8,10,10,8.7,2900
"87","Guest House Denchi","Tokyo",8.9,"Fabulous",8,10,6,8,10,10,10,3600
"88","Guest House Ga-Jyun","Kyoto",9.6,"Superb",9.6,9.7,9.4,9.4,9.4,9.9,9.9,2000
"89","Guest House Hachi","Kyoto",10,"Superb",10,10,10,10,10,10,10,3200
"90","Guest House Hitsuji-An","Kyoto",9.8,"Superb",9.5,10,9.5,10,10,10,9.5,2200
"91","Guest House Hokorobi","Fukuoka-City",8.4,"Fabulous",7.7,8.5,8.5,7.5,9.5,8.7,8.7,2400
"92","Guest House Kaine","Fukuoka-City",8.9,"Fabulous",10,9,8.5,9,7.5,10,8.5,2500
"93","Guest House Kyoto Inn","Kyoto",8.9,"Fabulous",8.7,9.4,9,8.1,8.6,9.4,8.9,1500
"94","Guest House La Kongo","Osaka",7.8,"Very Good",6,8,7.5,9,8,8.5,7.5,2500
"95","Guest House Matsu","Osaka",9.3,"Superb",9,9.7,9.2,8.7,9.3,9.7,9.5,1900
"96","Guest House ODORI","Osaka",8.6,"Fabulous",10,10,8,6,8,8,10,2800
"97","Guest House Onoya","Osaka",9.4,"Superb",9.5,10,10,8,9,10,9.5,2000
"98","Guest House Renjishi Kabuki","Kyoto",8.7,"Fabulous",8,8.9,7.9,8.7,9,9.8,8.6,1500
"99","Guest House Roku","Hiroshima",9.3,"Superb",9.5,9.5,9,9,9.2,9.8,9.4,2900
"100","Guest House Shinagawa-shuku Tokyo","Tokyo",9.2,"Superb",9,9.3,9.3,8.7,9,10,9,3300
"101","Guest House Shiori Ann","Kyoto",8.9,"Fabulous",6,8,10,9,10,9,10,1500
"102","Guest House TRACE","Tokyo",7.7,"Very Good",6,6,6,8,10,8,10,2700
"103","Guest House Yahata","Kyoto",8.6,"Fabulous",7.5,9.5,8.5,8,9.8,8.5,8.5,2500
"104","Guest House YULULU","Kyoto",8.6,"Fabulous",8.3,8.6,7.8,9.5,8.5,9.4,8.3,1500
"105","Guesthouse Fete","Tokyo",9.4,"Superb",9.8,9.2,8.9,8.8,9.5,9.9,9.4,2300
"106","Guesthouse Fujitatami","Osaka",9.1,"Superb",9.8,9.8,9.3,6.8,9,9.8,9.3,2200
"107","Guesthouse Gloire","Osaka",7.1,"Very Good",8,8,8,4,6,8,8,2800
"108","Guesthouse HetoGep","Osaka",9.1,"Superb",9.2,8.4,9.2,10,8.8,9.6,8.8,2500
"109","Guesthouse Hiroshima Mange Tak","Hiroshima",9.5,"Superb",8.9,9.8,9.4,9.6,9.6,9.7,9.3,2800
"110","Guesthouse Kagaribi","Tokyo",8.3,"Fabulous",8,8.8,8,6.8,8,9.6,8.8,2200
"111","Guesthouse Morizou Female only","Osaka",10,"Superb",10,10,10,10,10,10,10,2000
"112","Guesthouse Origami","Kyoto",8.1,"Fabulous",7.7,7.1,7.7,8.6,8.6,8.9,8,1500
"113","Guesthouse SAI","Osaka",8.9,"Fabulous",7.6,10,9.6,7.6,9.2,9.2,9.2,1800
"114","Guesthouse Sensu","Tokyo",9.3,"Superb",8,10,9.5,9,9,10,9.5,3300
"115","Guesthouse Shitamachi-Kujo","Kyoto",9.1,"Superb",10,10,8,8,10,10,8,1900
"116","Guesthouse Soi","Kyoto",9.5,"Superb",9.4,9.6,9.6,8.8,9.4,9.8,9.8,1700
"117","Guesthouse U-En","Osaka",9.5,"Superb",9.3,9.6,9.3,9.4,9.4,9.8,9.5,2300
"118","Harborside Guest House MINATO","Fukuoka-City",8.4,"Fabulous",7.5,9,8.5,7,9.5,9,8.5,2500
"119","HARUYA Hostels Aqua","Kyoto",9,"Superb",9,9,9,9,9,9,9,1500
"120","HATAGO tenjin","Fukuoka-City",8.4,"Fabulous",8.7,8.7,8.7,10,7.3,7.3,8,2300
"121","Hikari House","Tokyo",7.6,"Very Good",6.3,8,6.8,9.4,6.9,8.6,7.6,4000
"122","Hiromas Hostel in Akiba","Tokyo",9.2,"Superb",8.7,9.6,9.2,9.1,9.1,9.4,9.6,2700
"123","Hiromas Hostel in Kanda","Tokyo",9.3,"Superb",8.4,9.8,9.5,9.1,9.2,9.4,9.3,2000
"124","Hiromas Inn  Chitose-Karasuyama","Tokyo",7.5,"Very Good",7.1,9.1,7.4,7.4,6.3,6.9,8.3,3000
"125","Hiroshima Hana Hostel","Hiroshima",9,"Superb",8.1,9.3,8.8,9.4,8.9,9.5,9,2300
"126","Hiroshima Hostel EN","Hiroshima",9.6,"Superb",9.8,9.7,9.3,9.3,9.3,9.8,9.7,3000
"127","Hisayo's Inn","Tokyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,3800
"128","Home Hostel Osaka","Osaka",9.7,"Superb",8.7,9.9,10,9.7,9.9,9.7,9.7,2700
"129","Homeikan","Tokyo",9.3,"Superb",9.1,9.4,9.1,9.1,9.1,10,9.1,3600
"130","Hop Step Inn","Tokyo",9.1,"Superb",8.5,9.6,9.3,8.3,9.6,9.4,9.2,1500
"131","Hostel & Cafe Bar Backpackers Miyajima","Hiroshima",9.2,"Superb",9.2,9.3,9,9.2,9.1,9.6,8.9,2900
"132","Hostel 64 Osaka","Osaka",8.6,"Fabulous",8.2,8.6,8.2,8.1,9.1,9,8.6,2700
"133","Hostel bedgasm","Tokyo",9.6,"Superb",9.6,9.8,9.6,9.1,9.5,9.9,9.7,2900
"134","Hostel Bushi","Osaka",8.8,"Fabulous",8.5,8.8,8.9,8.6,8.8,9.2,8.9,1900
"135","Hostel Chapter Two Tokyo","Tokyo",10,"Superb",10,10,10,10,10,10,10,2700
"136","Hostel Chillout","Osaka",9.6,"Superb",9.4,9.4,9.1,10,9.4,10,9.7,2300
"137","hostel DEN","Tokyo",9.4,"Superb",9.1,9.7,9.3,9,9.7,9.7,9.4,2400
"138","Hostel Ebi","Kyoto",9.7,"Superb",9.4,9.9,9.5,9.8,9.7,9.8,9.6,2500
"139","Hostel Ebisutei Souzou with Sake Bar","Osaka",9.2,"Superb",9.7,9,9,9.5,8.3,9.6,9.4,2400
"140","Hostel Enisia Namba","Osaka",9.3,"Superb",8.7,9.2,9.3,10,9.5,9.3,9.2,3000
"141","Hostel Ginkakuji","Kyoto",4.9,"Rating",2,10,6,6,2,2,6,1300
"142","Hostel HARUYA Book","Kyoto",8.6,"Fabulous",7.6,8.4,7.6,8,9.6,10,9.2,1500
"143","Hostel HARUYA Kyoto","Kyoto",9.6,"Superb",8,10,10,10,10,10,9,1500
"144","HOSTEL HYAKU","Osaka",9.5,"Superb",8.9,10,9.4,9.3,9.7,9.7,9.5,2700
"145","Hostel J Culture 168","Osaka",7.5,"Very Good",6.7,7.3,8.7,7.3,8,9.3,5.3,3000
"146","Hostel Jin","Osaka",9.6,"Superb",8.8,10,9.8,8.8,9.8,9.8,10,2500
"147","Hostel Kyoto Kizuna","Kyoto",9.4,"Superb",8.6,9.9,9.5,9.2,9.6,9.6,9.6,1800
"148","Hostel LnK (Lodging & Kin)","Osaka",9.5,"Superb",9.2,10,9.3,9.5,9.3,9.5,9.5,3300
"149","Hostel Mallika","Hiroshima",9.3,"Superb",8.5,9.5,9.2,9.7,9.4,9.6,9.3,2500
"150","Hostel Mitsuwaya Osaka","Osaka",9.6,"Superb",9.4,10,9.7,9.1,9.7,9.9,9.6,3200
"151","Hostel moku-moku","Osaka",9.6,"Superb",9,10,10,9.5,10,9.5,9.5,3500
"152","Hostel Mundo","Kyoto",8.4,"Fabulous",8,8.6,8,8,8.7,8.9,8.8,1400
"153","Hostel Mundo Chiquito","Kyoto",9.5,"Superb",9,9.8,9.3,9,9.8,10,9.8,1400
"154","Hostel Namba Takumi","Osaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"155","Hostel Pumpkey Tokyo","Tokyo",8.7,"Fabulous",8.3,9,8.5,9,8.7,9,8.3,3400
"156","Hostel Q","Osaka",8.7,"Fabulous",9,7.3,8,9.7,9,9.3,8.3,2900
"157","Hostel Rakutsuki","Osaka",9.5,"Superb",9.3,9.5,8.7,9.8,9.8,9.8,9.8,1900
"158","Hostel Stand By Me","Fukuoka-City",NA,NA,NA,NA,NA,NA,NA,NA,NA,4000
"159","Hostel Teltel Bouzu","Osaka",9,"Superb",9,9,9,8.3,9.3,9.3,9,2500
"160","Hostel TOKI","Fukuoka-City",NA,NA,NA,NA,NA,NA,NA,NA,NA,2800
"161","Hostel WAQWAQ Tokyo Ueno Asakusa","Tokyo",8.9,"Fabulous",8.9,9.6,9,8.4,8.5,9,8.7,1600
"162","HOSTEL WASABI Kyoto Machiya Soba","Kyoto",9.1,"Superb",8.9,9.8,9.1,7.9,9,9.2,9.4,2000
"163","HOSTEL WASABI Osaka Bed with Library","Osaka",8.8,"Fabulous",8.1,9.1,8.7,9.5,8.2,9.2,9,1500
"164","Hostel＆Café East57 Asakusabashi","Tokyo",8.7,"Fabulous",7.8,9.3,7.8,9.1,9,9.1,8.6,2200
"165","Hotel Cargo Shinsaibashi","Osaka",9.3,"Superb",8.4,9.6,8.8,8.8,9.6,10,9.6,4200
"166","Hotel Chuo","Osaka",6.4,"Good",6,6,6,8,5,7,7,1500
"167","Hotel Graphy Nezu","Tokyo",8.9,"Fabulous",8.5,9.1,9.2,8.5,9.3,9.3,8.8,1800
"168","Hotel Kawase Tokyo and Capsule","Tokyo",6.4,"Good",5.4,5.1,6,8,6.3,7.4,6.6,1900
"169","Hotel Mikado","Osaka",8.7,"Fabulous",9.3,7.3,8,9.3,8,9.3,9.3,2000
"170","Hotel Raizan South","Osaka",8.1,"Fabulous",7,7,9,9,8,8,9,2000
"171","Hotel Shin-Imamiya","Osaka",6.6,"Good",4.8,7.3,6,7.8,8.3,6.3,5.8,1400
"172","Hotel Sun Plaza","Osaka",6.5,"Good",6,7.3,6,6.7,6,7.3,6,1300
"173","Hotel Taiyo","Osaka",8.1,"Fabulous",7.3,8,8,8.7,8.7,8,8,1500
"174","Hotel Wako","Osaka",6,"Good",4,4,6,6,8,6,8,1600
"175","Hotel&Hostel On the Marks Tokyo Kawasaki","Tokyo",9.6,"Superb",9.6,10,9.6,8.7,9.9,9.9,9.6,1900
"176","Idocoro","Osaka",8.2,"Fabulous",7.1,8.9,8,7.6,8.8,8.7,8.2,1800
"177","Ikidane House","Tokyo",9.1,"Superb",8,9.6,8.8,9.2,9.2,9.6,9.2,2000
"178","Ikidane House Asakusa Hatago","Tokyo",8.9,"Fabulous",10,10,10,4,10,8,10,2000
"179","Ikidane House Namba","Osaka",9.3,"Superb",8.9,9.6,9.7,8.8,8.9,9.6,9.6,1200
"180","Ikoi-no-Ie Kyoto","Kyoto",8,"Fabulous",6,8.8,8,8,9.2,8.4,7.6,2700
"181","iloha Hostel Namba Shinsaibashi","Osaka",9.2,"Superb",8.7,9.6,9.2,9.6,9.2,8.5,9.4,2600
"182","IM Guest House","Osaka",8.3,"Fabulous",7,8,7,8,9,10,9,1900
"183","Imano Kyoto Kiyomizu Hostel","Kyoto",9.2,"Superb",8.6,9.8,9.3,9.1,9.4,9.2,9.3,2200
"184","Imano Tokyo Ginza Hostel","Tokyo",8.9,"Fabulous",8.3,9.3,8.9,8.8,9.3,9.2,8.7,2700
"185","Imano Tokyo Hostel","Tokyo",8.6,"Fabulous",7.7,8.9,8.1,9.3,8.6,9.2,8.1,3300
"186","IRORI Nihonbashi Hostel and Kitchen","Tokyo",9,"Superb",8.9,8.9,8.9,9,9.2,9.3,8.8,2100
"187","Iza Tokyo Asakusa Guesthouse","Tokyo",9.3,"Superb",9.3,9.3,9.2,9.4,9.2,9.6,9.2,2500
"188","J-Hoppers Hiroshima Guesthouse","Hiroshima",9.1,"Superb",8.5,9.3,9,9.3,9.3,9.4,9.2,2300
"189","J-Hoppers Kyoto Guest House","Kyoto",9,"Superb",8.4,9.1,8.3,8.9,9.4,9.7,9.3,1900
"190","J-Hoppers Osaka Guesthouse","Osaka",9.5,"Superb",9.5,9.6,9.2,9.5,9.6,9.7,9.6,2300
"191","J-Hoppers Osaka Universal","Osaka",9.4,"Superb",9.3,9.7,9.2,8.7,9.7,10,9.5,2500
"192","J's Backpackers","Tokyo",8.3,"Fabulous",8,10,8,4,10,8,10,1600
"193","Jam Hostel Kyoto Gion","Kyoto",7.7,"Very Good",7,8,7,9.4,8,6.9,7.9,1500
"194","Japanize Guest House","Tokyo",7.6,"Very Good",7,6,7.7,8.7,7.7,8,8.3,1900
"195","JGH Tokyo","Tokyo",8.4,"Fabulous",8.1,8,8.1,7.1,8.8,9.8,8.9,1600
"196","Jimbocho Sakura Hotel","Tokyo",9.4,"Superb",9,9.5,10,9,9,9.5,10,2200
"197","Jiyujin","Kyoto",9.7,"Superb",9,10,9.8,9.5,10,9.7,9.7,2600
"198","Juyoh Hotel","Tokyo",8.3,"Fabulous",7.6,8.4,8.4,7.1,8.9,8.9,8.7,2900
"199","Kaisu Hostel","Tokyo",9.4,"Superb",9.1,9.7,9.3,9.3,9.6,9.5,9.2,3900
"200","Kaneyoshi Ryokan, Namba Dotombori","Osaka",9.4,"Superb",10,9,9,10,9,10,9,6500
"201","Ken's House","Osaka",8.7,"Fabulous",7.5,9,9,9.5,8,9,9,2000
"202","Khaosan Kyoto Guest House","Kyoto",8.9,"Fabulous",8.2,8.8,8.5,9.6,9.1,9,8.9,2000
"203","Khaosan Tokyo Kabuki","Tokyo",9.2,"Superb",8.8,8.8,8.8,9.8,9.5,9.5,9,3000
"204","Khaosan Tokyo Laboratory","Tokyo",9.1,"Superb",7.9,9.3,8.8,9.3,9.4,9.7,9.3,2600
"252","Osaka Guesthouse Hive","Osaka",8.3,"Fabulous",7.6,8.6,8,8.5,8.6,8.5,8,2300
"253","Osaka GuestHouse KOMA","Osaka",8.3,"Fabulous",8,7.5,7.8,9.1,7.9,9.1,8.8,1500
"254","Osaka Guesthouse Nest","Osaka",8.5,"Fabulous",7.8,9,8.2,8.7,8.3,9.2,8,1500
"255","Osaka Guesthouse Sakura","Osaka",8.8,"Fabulous",8.9,8.9,8.4,8.3,8.5,9.4,9.2,2500
"256","Osaka Guesthouse SUN","Osaka",9.1,"Superb",8.8,9,8.5,9.5,8.8,9.5,9.4,2300
"257","Osaka Hana Hostel","Osaka",9.5,"Superb",8.5,9.6,9.6,9.8,9.5,9.8,9.6,2600
"258","Osaka Hostel Kai","Osaka",9.1,"Superb",8.9,9.1,8.9,8.6,8.9,9.7,9.7,2600
"259","Osaka International Youth Hostel","Osaka",9.4,"Superb",10,10,10,6,10,10,10,2900
"260","Osaka Namba Hostel MIYABI","Osaka",8.9,"Fabulous",7.6,9.1,8.8,9.3,9,9.2,9.4,2000
"261","Oshiteruya","Osaka",7.3,"Very Good",6.7,8,6.7,7.3,6.7,8,8,2800
"262","Peace House Abeno","Osaka",9,"Superb",9,9.1,9.1,8.2,9.1,9.1,9.3,1200
"263","Peace House Sachi","Osaka",8.6,"Fabulous",8.8,8.2,7.9,8.9,8.4,9.2,8.8,1200
"264","Peace House Sakura","Kyoto",6.3,"Good",6.8,5.8,5.3,6.5,6.3,6.8,7,1300
"265","Peace House Showa","Osaka",7.5,"Very Good",8,6.4,5.6,8,6.4,9.6,8.4,1200
"266","Peace House Suzunami","Osaka",8.2,"Fabulous",8.4,7.1,7.9,8.7,8,8.9,8.2,1200
"267","Picnic Hostel Osaka","Osaka",9.4,"Superb",8.6,9.8,9.4,9.5,9.5,9.5,9.6,2000
"268","Piece Hostel Kyoto","Kyoto",9.7,"Superb",9.2,9.9,9.8,9.8,9.9,9.9,9.6,2700
"269","Piece Hostel Sanjo","Kyoto",9.6,"Superb",9.1,9.8,9.7,9.6,9.8,9.9,9.6,2900
"270","Planetyze Hostel","Tokyo",9.3,"Superb",8.6,9.5,9,9.3,9.6,9.6,9.3,2400
"271","Poly Hostel Osaka","Osaka",9.4,"Superb",8,10,10,8,10,10,10,3800
"272","Prime Inn Shinsaibashi","Osaka",9.2,"Superb",8.7,9.3,8.7,9.3,10,9.3,9.3,2600
"273","Qoo Ebisucho","Osaka",5.7,"Rating",6,8,6,6,2,8,4,2000
"274","Quality Hostel K's House Tokyo Oasis","Tokyo",9,"Superb",8.2,9.6,8.4,9.1,9.5,9.3,8.7,3000
"275","R.Star Hostel Kyoto","Kyoto",9.6,"Superb",8.7,10,9.7,9.3,9.8,9.9,9.8,2400
"276","Retrometro Backpackers","Tokyo",9.4,"Superb",9.4,9.4,9,9.4,9.5,9.8,9.6,3000
"277","RokuRoku","Kyoto",9.7,"Superb",10,10,10,9,10,9,10,2500
"278","Roots Hostel","Osaka",8,"Fabulous",7.8,7.9,7.6,7.5,8,9.1,8.1,3000
"279","RYOKAN＆HOSTEL WASABI Nippori","Tokyo",8.7,"Fabulous",8.2,8.6,8.9,8.5,8.8,8.9,8.9,2000
"280","Sakai Guest House","Osaka",6.6,"Good",7,6,6,6,7,8,6,2000
"281","Sakura Guest House","Osaka",4.9,"Rating",4,4,4,8,4,6,4,2700
"282","Sakura Hostel Asakusa","Tokyo",8.6,"Fabulous",7.7,8.6,8.4,8.9,9,9,8.7,2400
"283","Sakura Hotel Ikebukuro","Tokyo",8.3,"Fabulous",7.3,8.2,7.9,9,7.8,9.1,8.8,2300
"284","Sakura Hotel Nippori","Tokyo",9.1,"Superb",8.6,9.4,8.9,9.1,9.7,9.4,8.6,1900
"285","Sakura La An","Osaka",9.6,"Superb",9.3,9.8,9.5,9.2,9.6,9.8,9.7,2900
"286","Santiago Guesthouse Hiroshima","Hiroshima",8.9,"Fabulous",8.5,8.9,8.7,9.6,9,8.6,8.8,2000
"287","Santiago Guesthouse Kyoto","Kyoto",8.8,"Fabulous",8.4,9.3,8.7,8.5,8.7,9.2,8.8,1300
"288","Senba Hostel","Osaka",9.1,"Superb",9,9.5,9,9,9.5,9,8.5,3500
"289","Sheena and Ippei","Tokyo",9.1,"Superb",10,10,8,8,8,10,10,3700
"290","Shell Nell namba","Osaka",8.3,"Fabulous",6,8,9,9,9,9,8,1003200
"291","Shibamata FU-TEN Bed and Local","Tokyo",4.9,"Rating",2,4,2,2,10,10,4,3000
"292","Shin-Osaka Tomato Guest House","Osaka",9,"Superb",7.4,9.6,9.1,8.4,9.3,9.6,9.4,1500
"293","Shin-Osaka Youth Hostel","Osaka",8.9,"Fabulous",7,10,9,9,10,8,9,3200
"294","Small World Guesthouse in Kyoto","Kyoto",8.1,"Fabulous",8.5,8.9,8,7.8,6.9,7.1,9.1,1600
"295","Space Hostel Tokyo","Tokyo",9.1,"Superb",8.6,9.6,9,8.7,9.2,9.4,9.2,2200
"296","Sparkling Dolphins Inn Kyoto","Kyoto",6.2,"Good",5.3,6.7,5.7,7,5.7,7,6,3000
"297","Stayto (former: Oak Hotel)","Tokyo",9,"Superb",8.3,9.1,8.5,9.2,9.4,9.5,8.8,2500
"298","Suzuki Guesthouse","Kyoto",9.1,"Superb",8.6,9.6,8.7,8.4,9.8,9.6,8.9,1600
"299","Tabetoma Nijo Castle","Kyoto",8.8,"Fabulous",8.5,9.3,8.6,8.9,9,9,8.7,1500
"300","Tabicolle Backpackers","Fukuoka-City",10,"Superb",10,10,10,10,10,10,10,2500
"301","Tadaima Japan Shinjuku Ryokan","Tokyo",8.4,"Fabulous",8,9,9,8,8,9,8,7600
"302","Talbot","Kyoto",10,"Superb",10,10,10,10,10,10,10,2000
"303","Tanaka Gokurakudo Guest House","Kyoto",8.7,"Fabulous",8.2,9.1,8,9.3,8.7,8.9,8.4,2000
"304","Tani9 Backpackers Osaka","Osaka",9,"Superb",8.8,8.9,8.6,9.5,9.2,9.5,8.7,2000
"305","The Blend Inn","Osaka",9.6,"Superb",9.8,9.9,9.5,8.5,10,9.9,9.6,2300
"306","The Dorm Hostel Osaka","Osaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,3800
"307","The Evergreen Hostel","Hiroshima",9,"Superb",8.6,9.1,8.7,9.2,8.9,9.3,9,2000
"308","THE LIFE hostel & bar lounge","Fukuoka-City",9.1,"Superb",8.9,9.4,9.2,9.3,8.8,9.2,8.9,2400
"309","The Lower East Nine Hostel","Kyoto",9.4,"Superb",8.8,9.8,9.6,8.9,9.7,9.6,9.2,3000
"310","The Millennials Kyoto","Kyoto",9.6,"Superb",9.3,9.8,9.8,9.9,9.6,9.4,9.5,2700
"311","The Millennials Shibuya","Tokyo",9.3,"Superb",8.9,10,9.3,9.8,9.5,8.9,8.7,6300
